text,fraudulent
visual technology startup pioneering powerful immersive experiences next generation wearable displays condition one combines advanced 3d graphics high resolution video experiential storytelling create fundamentally new form visual communication enable better understanding human experience excited announce development zero point first movie shot 3d 360 degree video optimized oculus rift head mounted display film follow pioneers virtual reality researchers developers creating entirely new digital dimension combat training simulations department defense research labs stanford indie game developers hackers immersive video experience bring viewers future virtual reality looking experienced electrical computer engineer join team lead hardware engineer spearhead effort create custom state art capture solutions 360 3d virtual reality work closely r amp define requirements new camera rigs design build well analyze existing gesture recognition depth sensing solutions also contribute uav effort responsibilities lead hardware development planning documentation invent new image capture hardware advance gesture recognition depth sensing hardware modify existing cameras camera rigs collaborate department heads engineers identify hardware requirements develop hardware test plans documentation setup manage hardware lab 5 years hardware development experience electrical engineering computer engineering degree masters plus experience microcontrollers embedded systems excellent verbal written communication skills experience uavs plus experience cameras image sensors huge plus experience gesture recognition depth sensing hardware huge plus ability join first visual technology startup pioneering powerful immersive experiences next generation wearable displays us ca san francisco full time mid senior level bachelor degree motion pictures film,0
seeking customer service representative enjoys building relationships helping others solving problems organizing demanding schedule ideal candidate independent confident customer focused good time management skills strong communication skills excellent computer aptitude help resolve customer problems internally externally us mo grandview full time applicable high school equivalent telecommunications,1
greetings vam systems vam systems business consulting solutions services company operations uae qatar bahrain usa australia singapore amp india offers comprehensive list services field infrastructure management cloud services consulting services banking management resources information technology development telecom aviation retail management amp egovernment offerings vam systems currently looking senior exchange amp active directory systems administrator qatar operations terms conditions joining time frame 2 weeks maximum 1 month selected candidates shall join vam systems qatar shall deputed one leading organizations qatar interested opportunity please send latest resume ms word format earliest call us 91 phone_df058aa8cbf405b99c6fc6459e7085be12bce0e56bcafe7d52281b99685a4a0f skill set required 6 10 years experience active directory exchange administration anenterprise environment ability setup configure ad exchange industry standard practices thorough knowledge migration paths methods ad exchange fromprevious version latest versions good skill maintaining day day system admin activities ad exchange strong troubleshoot skills ad exchange excellent documentation amp communication skills thorough knowledge ad schema exchange infrastructure ability fine tune ad exchange optimal performance application level ability work pressure ability work closely system administrators good spirit work team follow instructions supervisor performs related duties needed upon request immediate supervisor familiar change management process managed domain good experience microsoft exchange 2010 server microsoft windows 2008server relevant microsoft certification mcsa mcitp mcse relevant windows 2008r2 experience assign policies apply critical updates organization administering information andsettings central database perform daily operational tasks necessary provide stable robustexchange environment including monitoring proactive maintenance problemresolution tier 2 amp 3 troubleshooting support exchange issues investigate helpdesk escalation callsand find optimum solutions perform scripting administration tasks reporting using powershell scriptingtechnology developing scripts automating processes within environment take ownership typical messaging issues work resolution root identification create maintain appropriate documentation messaging environment maintain amp perform periodic testing disaster recovery procedures ms exchange2010 environment ad maintain administer third party applications including limited tmg isa forexchange adhere enforce change management compliance processes understand business requirements identify potential messaging solutions assess perform systems utilization reports assist troubleshooting andperformance tuning ensure integrity security ms exchange mailboxes perform periodic performance reporting support capacity planning general network skills routing dns expertise anti spam amp anti virus backup general system administration urgent requirement senior exchange active directory systems administrator qatar qa da doha,1
responsibilities include answering phones directing office visitors copying scanning documents maintaining conference room including cleaning delivering food drink sorting delivering mail ordering organizing delivering supplies maintaining copy machines clearing paper jams well stocking copiers faxes printers paper maintaining kitchen including cleaning stocking supplies preparing coffee lifting carrying boxes documents weighing 10 30 pounds frequent basis perform duties requested including limited watering plants delivering newspapers assisting office services duties cleaning offices may coordinate communicate parties outside firm vendors well attorneys secretaries paralegals case assistants managers staff house works overtime hours needed duties assigned skills ​qualifications include high school diploma preferred areas work experience includes receptionist clerical mailroom excellent communication skills strong computer skills experience scanning documents ability communication persuasively interact effectively employees vendors varied backgrounds levels responsibility ability juggle multiple projects respond quickly changing priorities offer friendly business casual environment competitive salary benefits package ​ receptionist office services clerk us ca los angeles full time entry level high school equivalent hospital health care administrative,1
meet cove network neighborhood productive spaces community defining productive together dc based startup launched september 2013 members cove community come different backgrounds work environments know well trying work kitchen table getting lost row cubicles fighting find outlet coffee shop created cove simple objective building places want got basics covered—fast wifi color printers spiffy conference rooms free coffee ditch coffee shop boring cubicle lonely living room come productive cove five locations dupont 14th st logan circle capitol hill columbia heights old town va cove experience based startup looking city manager join us full time dc based startup launched nine months ago looking dc conductor join help grow team meet cove network neighborhood productive spaces community defining productive together members cove community come different backgrounds work environments know well trying work kitchen table getting lost row cubicles fighting find outlet coffee shop created cove simple objective building places want got basics covered—fast wifi color printers spiffy conference rooms free coffee ditch coffee shop boring cubicle lonely living room come productive cove currently three locations dupont logan circle capitol hill need help bring productive spaces neighborhoods dc primary responsibilities oversee awesome growing dc team support development processes operations alongside ceo create analyze present city budget create oversee department budgets effectively communicate plans objectives aggregate analyze large amounts data inform decisions assist creation execution marketing efforts willingness learn relearn teach things necessary keep cove running dc provide awesome cove experience description thrive managing multiple projects people processes well attending weekly community happy hours cove needs support city manager position key team member join driven exciting team quickly expanding awesome startup center cove improvement member experience fast paced hands deck role oversee cove multiple dc neighborhoods city manager guide oversee general operations dc report ceo includes managing growing team dedicated building awesome cove experience cove members teammates position responsible components making dc successful thriving including making city decisions operations marketing imperative thrive fast paced environment maintaining priority high level projects previous experience managing team imperative well willingness interest data analysis generate strategic guidance team members double onsite hosts chip whenever wherever extra set hands needed full time position require working nights weekends must able execute morning day night desired skills expertise 3 5 years management experience related experience education direct experience operations marketing plus bachelor degree required must proven record analyzing data guide results apply please submit cover letter resume emails phone calls please deadline apply friday july 20 salaried position health insurance benefits capital bikeshare membership city manager us dc washington full time mid senior level bachelor degree consumer services management,0
black tux transforming tuxedo suit rental market traditional shopping experience offered completely online focus quality fit price seen incredible growth since launch last year looking talented engineers help us continue scale black tux transforming tuxedo suit rental market traditional shopping experience offered completely online focus quality fit price seen incredible growth since launch last year looking talented engineers help us continue scale looking hire senior full­stack software engineer obsessed delivering best possible customer experience value software engineering practices never forget scalability reusability designing code unique opportunity build technology early stage company killer product part small dedicated technical team santa monica company backed silicon valley top investors build improve software systems fast­ growing disruptive e­commerce company create custom apis integrate 3rd party systems deliver defect limited code ubiquitous test automation contribute development team standards best practices 3 years professional software development experience dynamic programming language python ruby familiarity web framework django pyramid rails play etc fluent front­end web technologies html scss js jquery experience designing building e­commerce retail systems ability operate web­scale previous work consumer web products built scratch good eye ux design experience working fast­paced startup environment exciting startup environment weekly catered lunches health dental quarterly team outings company happy hours travel adventure spending keep sane full stack developer open source us ca santa monica full time associate apparel fashion engineering,0
aker solutions global provider products systems services oil gas industry engineering design technology bring discoveries production maximize recovery petroleum field employ approximately 28 000 people 30 countries go information business people values corporate overview aker solutions global provider products systems services oil gas industry engineering design technology bring discoveries production maximize recovery petroleum field employ approximately 28 000 people 30 countries go information business people values looking individuals prepared take position position within aker solutions also position exciting challenges global oil gas industry faces future looking individuals prepared take position position within aker solutions also position exciting challenges global oil gas industry faces future aker solutions world leading supplier subsea pumping compression processing power distribution systems subsea oil gas industry currently realizing åsgard subsea compression system ready start 2015 see development market opportunities even processing systems moved subsea establishing future subsea factory aker solutions split two companies one retain aker solutions name focus subsea business field design new oil services investment company named akastor consisting six businesses run independently aker solutions subsea power process unit continuously improving solutions realizing subsea factory looking highly motivated creative engineers capable shaping future several open positions houston tx within subsea processing separation compression power systems need join team developing subsea processing solutions including separation compression flow assurance pumps responsibilities tasks take lead driving force within subsea processing technology systems idea market lead process system specialist subsea processing projects studies concept developments responsible process system layout design simulations responsible defining process system equipment qualifications amp personal attributes qualifications strong fundamental understanding within fluid mechanics characteristics thermodynamics energy processes flow assurance experience within oil gas process systems subsea processing design understanding flow assurance challenges within subsea field development reservoir topside master science phd relevant discipline oil amp gas experience 5 8 years within subsea offshore industry preferable within processing candidates less experience strong qualifications may evaluated personal qualities ability apply fundamental competence improve existing exploring new solutions innovative problem solving mindset result orientated ability elevated global view challenge identify solve key issues ability work pressure initiative team player also self managed independent pro active offer friendly colleagues industry bright future environment encouraged develop skills share knowledge colleagues competitive benefits strong focus work life balance good creative working environment technical driven organization interesting challenging work tasks one leading subsea technology companies worldwide good career development opportunities nationally internationally expansive company constant development good personnel pension insurances welfare benefits employees subsea process system engineer us tx houston full time master degree oil energy engineering,1
crossroads staffing dedicates significant amount time getting know clients candidates alike ensure excellent match proud hands service provide clients also employees focus building meaningful lasting relationships qualified candidates translates familiar faces trust assignments positions available anaheim ca way santa barbara ca also recently hired property management company located las vegas las vegas company looking high energy technical writer present day skills applicants must intermediate knowledge ms visio responsibilities follows must ability take copious notes translate flowcharts narratives quickly taking ms word notes real time meeting creating visio workflows conceptualize design develop instructional content including instructional text visual aids learning activities assist creating style guides existing company training templates collaborate subject matter experts team members needed extract business requirements balance multiple projects timelines ensure technical verbiage easy understand layperson adhere established standards methods addie methodology follow organizational systems programs training policies procedures required complies relevant legal mandates handle various duties delegated training manager carry responsibilities honest ethical professional manner minimum qualifications followed proficient ms office tools intermediate knowledge ms visio required excellent telephone etiquette average organizational time management skills excellent communication skills verbal written must self motivated able work independently ability interact effectively employees software development experience plus required work site las vegas location compensation 36 41 hour us nv las vegas contract entry level high school equivalent real estate writing editing,0
advantage xpo part advantage resourcing group among ten largest global staffing firms advantage specializes providing contingent permanent workforce solutions every day talk hiring managers hr directors senior management learn needs time talk skills goals talented people seeking employment opportunities ongoing face face communication gives us staffing perspective simply unmatched tune local conditions yet reach undeniably global hesitate look across country even globe align qualified talent appropriate positions client american express need business travel counselor contractor responsible coordinating company travel needs scheduling hotel flight accommodations procures necessary documentation passports visas clearances business travel counselor also ensure travel needs met within constraints company travel budget 12 month contract opportunity possibility becoming permanent must travel experience hotel car airline must sabre apollo experience requires high school diploma ged 2 years experience field related area travel agent us fl tampa full time high school equivalent,1
passion improving quality life geography heart everything esri geographic information system gis technology inspires enables governments universities businesses worldwide save money lives environment deeper understanding changing world around carefully managed growth zero debt give esri stability uncommon today volatile business world privately held offer exceptional benefits competitive salaries 401 k profit sharing programs opportunities personal professional growth much company esri environmental systems research institute passion improving quality life geography heart everything esri geographic information system gis technology inspires enables governments universities businesses worldwide save money lives environment deeper understanding changing world around carefully managed growth zero debt give esri stability uncommon today volatile business world privately held offer exceptional benefits competitive salaries 401 k profit sharing programs opportunities personal professional growth much opportunity junior account executive esri looking self motivated driven results oriented top performing junior account executive track record success join world class team position driving sales revenue aggressively expanding esri customer base hybrid inside outside sales role large regional territory competitive compensation package specifically aggressively prospect qualify present pitch close potential clients generated outbound calling email initiatives networking attending appropriate industry events promptly proactively address incoming inquiries leads generated online advertising marketing campaigns generate sales targets via research industry articles specific targeted verticals defined sales marketing strategies keep current industry trends relevant targeted vertical markets stay date relevant technologies news complete technical understanding ability articulate demonstrate esri products value propositions maintain aggressive sales pipeline weekly reports sales management provide high touch account management select current client base strategize work closely account managers determine potential revenue opportunities within account education ba bs required advanced degree plus experience minimum 2 3 years sales experience b2b technology sales experience highly preferred background technology software saas plus necessary proven experience quota carrying sales role track record meeting exceeding goals able effectively prospect qualify solution sell right decision makers excellent presentation skills ability succinctly present esri value services via phone web conference trade shows etc strong computer skills proficient standard software internet web applications crm experience plus highly motivated competitive ambitious drive sales revenue company unrelenting desire 1 performer anything yet collaborative strong team player responsible self directed individual knows needs done operates urgency focus discipline enjoys art sales cold calling coupled relentless hunter mentality excellent communication skills written verbal presentation interpersonal natural competitor passion dedication succeed continuously exceed expectations ability thrive energetic fast pace high growth entrepreneurial environment minimal supervision ethical fair high integrity culture anything corporate—we collaborative creative environment phone directories organized first name relaxed dress code open door policies place thrive passionate people strive make difference casual dress code flexible work schedules support continuing education college like campus network buildings amid lush landscaping numerous outdoor patio areas site café including starbucks coffee bar lounge area fitness center available 24 7 comprehensive reference library gis bibliography state art conference center host staff guest speakers green initiatives solar rooftop panels reduce carbon emissions electric vehicles provide campus transportation hundreds trees reduce cost cooling buildings incentives employees walk bike carpool work california grown produce available purchase esri café junior account executive minneapolis mn us co minneapolis full time entry level bachelor degree computer software sales,0
